id,name,stargazerCount,createdAt,updatedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkyNTYxNTgy,animate.css,80468,2011-10-12T10:07:38Z,2024-08-24T23:06:45Z,{'name': 'CSS'}
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,realworld,80172,2016-02-26T20:49:53Z,2024-08-24T22:15:13Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw,79770,2020-01-02T01:04:43Z,2024-08-25T03:30:43Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django,78589,2012-04-28T02:47:18Z,2024-08-25T03:23:29Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm,78419,2010-04-15T17:47:47Z,2024-08-25T03:31:37Z,{'name': 'Shell'}
MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=,app-ideas,78344,2019-02-25T18:36:56Z,2024-08-25T03:38:42Z,
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,78038,2016-11-20T18:13:05Z,2024-08-24T23:17:11Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel,77879,2011-06-08T03:06:08Z,2024-08-25T01:33:41Z,{'name': 'PHP'}
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin,77695,2010-12-19T15:16:43Z,2024-08-25T02:51:00Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv,77606,2012-07-19T09:40:17Z,2024-08-25T03:41:32Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin,77589,2014-06-16T23:57:25Z,2024-08-24T21:01:25Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,mall,77031,2018-04-04T01:11:44Z,2024-08-25T02:30:00Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,models,76915,2016-02-05T01:15:20Z,2024-08-24T20:12:38Z,{'name': 'Python'}
